Mesh_UI	Mesh_eng	Mesh_swe
D000060	Accidents, Aviation	Flygolyckor
D000061	Accidents, Home	Hemolycksfall
D000062	Accidents, Occupational	Arbetsolyckor
D000063	Accidents, Traffic	Vägtrafikolyckor
D000064	Acclimatization	Acklimatisering
D000065	Accommodation, Ocular	Ackommodationsförmåga
D000066	Accounting	Bokföring
D000067	Accounts Payable and Receivable	Räkningar
D000068	Accreditation	Ackreditering
D000069	Acculturation	Assimilation
D000070	Acebutolol	Acebutolol
D000072	Acedapsone	Acedapson
D000073	Acenaphthenes	Acenaftener
D000074	Acenocoumarol	Acenokumarin
D000075	Acepromazine	Acepromazin
D000076	Acetabularia	Acetabularia
D000077	Acetabulum	Höftledspanna
D000079	Acetaldehyde	Acetaldehyd
D000080	Acetals	Acetaler
D000081	Acetamides	Acetamider
D000082	Acetaminophen	Acetaminofen
D000083	Acetanilides	Acetanilider
D000084	Acetate Kinase	Acetatkinas
D000085	Acetates	Acetater
D000086	Acetazolamide	Acetazolamid
D000088	Acetic Acids	Ättiksyror
D000089	Acetic Anhydrides	Ättiksyranhydrider
D000090	Acetoacetates	Acetoacetater
D000091	Acetobacter	Acetobacter
D000092	Acetohexamide	Acetohexamid
D000093	Acetoin	Acetoin
D000094	Acetoin Dehydrogenase	Acetoindehydrogenas
D000095	Acetolactate Synthase	Acetolaktatsyntas
D000096	Acetone	Aceton
D000097	Acetonitriles	Acetonitriler
D000098	Acetophenones	Acetofenoner
D000099	Acetoxyacetylaminofluorene	Acetoxyacetylaminofluoren
D000100	Acetrizoic Acid	3-acetamid-2,4,6-trijodbenzoesyra
D000101	Acetyl-CoA C-Acetyltransferase	Acetyl-CoA C-acetyltransferase
D000102	Acetyl-CoA C-Acyltransferase	Acetyl-CoA C-acyltransferase
D000103	Acetyl-CoA Carboxylase	Acetyl-CoA-karboxylas
D000104	Acetyl-CoA Hydrolase	Acetyl-CoA-hydrolas
D000105	Acetyl Coenzyme A	Acetyl-CoA
D000106	Acetate-CoA Ligase	Acetat-CoA-ligas
D000107	Acetylation	Acetylering
D000108	Acetylcarnitine	Acetylkarnitin
D000109	Acetylcholine	Acetylkolin
D000110	Acetylcholinesterase	Acetylkolinesteras
D000111	Acetylcysteine	Acetylcystein
D000112	Acetyldigitoxins	Acetyldigitoxiner
D000113	Acetyldigoxins	Acetyldigoxiner
D000114	Acetylene	Acetylen
D000115	Acetylesterase	Acetylesteras
D000116	Acetylgalactosamine	Acetylgalaktosamin
D000117	Acetylglucosamine	Acetylglukosamin
D000118	Acetylglucosaminidase	Acetylglukosaminidas
D000119	Acetylmuramyl-Alanyl-Isoglutamine	Acetylmuramyl-alanyl-isoglutamin
D000120	Acecainide	Acekainid
D000121	Acetylserotonin N-Methyltransferase	Acetylserotonin N-metyltransferas
D000122	Acetylthiocholine	Acetyltiokolin
D000123	Acetyltransferases	Acetyltransferaser
D000124	Achievement	Prestation
D000125	Achilles Tendon	Hälsena
D000126	Achlorhydria	Aklorhydri
D000127	Acholeplasma	Acholeplasma
D000128	Acholeplasma laidlawii	Acholeplasma laidlawii
D000129	Acholeplasmataceae	Acholeplasmataceae
D000130	Achondroplasia	Akondroplasi
D000134	Acid Etching, Dental	Tandetsning med syror
D000135	Acid Phosphatase	Surt fosfatas
D000136	Acid-Base Equilibrium	Syra-bas-jämvikt
D000137	Acid-Base Imbalance	Syra-basobalans
D000138	Acidosis	Acidos
D000140	Acidosis, Lactic	Mjölksyraacidos
D000141	Acidosis, Renal Tubular	Acidos, renal tubulär
D000142	Acidosis, Respiratory	Acidos, respiratorisk
D000143	Acids	Syror
D000144	Acids, Acyclic	Syror, acykliska
D000145	Acids, Aldehydic	Aldehydsyror
D000146	Acids, Carbocyclic	Karbolsyror
D000147	Acids, Heterocyclic	Syror, heterocykliska
D000148	Acids, Noncarboxylic	Icke-karboxylsyror
D000149	Acidulated Phosphate Fluoride	Syrlig fosfatfluorid
D000150	Acinetobacter	Acinetobacter
D000151	Acinetobacter Infections	Acinetobacterinfektioner
D000152	Acne Vulgaris	Finnar
D000153	Acne Keloid	Akneärr
D000154	Aconitate Hydratase	Akonitathydratas
D000156	Aconitic Acid	Akonitsyra
D000157	Aconitine	Akonitin
D000158	Acoustic Impedance Tests	Tympanometri
D000159	Vestibulocochlear Nerve	Hörsel- och balansnerv
D000160	Vestibulocochlear Nerve Diseases	Hörsel- och balansnervssjukdomar
D000161	Acoustic Stimulation	Akustisk stimulering
D000162	Acoustics	Akustik
D000163	Acquired Immunodeficiency Syndrome	AIDS
D000164	Acremonium	Acremonium
D000165	Acridine Orange	Akridinorange
D000166	Acridines	Akridiner
D000167	Acriflavine	Akriflavin
D000168	Acrocephalosyndactylia	Akrocefalosyndaktyli
D000169	Acrodermatitis	Akrodermatit
D000170	Acrodynia	Akrodyni
D000171	Acrolein	Akrolein
D000172	Acromegaly	Akromegali
D000173	Acromioclavicular Joint	Akromioklavikularled
D000174	Acromion	Akromion
D000175	Acronine	Akronin
D000176	Acrosin	Akrosin
D000177	Acrosome	Akrosom
D000178	Acrylamides	Akrylamider
D000179	Acrylates	Akrylater
D000180	Acrylic Resins	Akrylhartser
D000181	Acrylonitrile	Akrylonitril
D000182	ACTH Syndrome, Ectopic	ACTH-syndrom, ektopiskt
D000183	Actihaemyl	Actihaemyl
D000184	Acting Out	Utagerande
D000185	Actinin	Aktinin
D000186	Actinium	Aktinium
D000187	Actinobacillosis	Aktinobacillos
D000188	Actinobacillus	Actinobacillus
D000189	Actinobacillus Infections	Actinobacillusinfektioner
D000190	Actinomyces	Strålsvamp
D000191	Actinomycetaceae	Actinomycetaceae
D000192	Actinomycetales	Actinomycetales
D000193	Actinomycetales Infections	Actinomycetalesinfektioner
D000196	Actinomycosis	Strålsvampsjuka
D000197	Actinomycosis, Cervicofacial	Strålsvampsjuka, hals-ansikte
D000198	Spectinomycin	Spektinomycin
D000199	Actins	Aktiner
D000200	Action Potentials	Aktionspotentialer
D000201	Activation Analysis	Aktiveringsanalys
D000202	Activator Appliances	Aktivatorapparatur
D000203	Activities of Daily Living	ADL
D000204	Activity Cycles	Aktivitetscykler
D000205	Actomyosin	Aktomyosin
D000206	Actuarial Analysis	Aktuarieanalys
D000208	Acute Disease	Akut sjukdom
D000209	Acute-Phase Proteins	Akutfasproteiner
D000210	Acute-Phase Reaction	Akutfasreaktion
D000212	Acyclovir	Aciklovir
D000213	Acyl Carrier Protein	Acylbärarprotein
D000214	Acyl Coenzyme A	Acyl-CoA
D000215	Acylation	Acylering
D000216	N-Acylneuraminate Cytidylyltransferase	N-acylneuraminatcytidylyltransferas
D000217	Acyltransferases	Acyltransferaser
D000218	Adamantane	Adamantan
D000219	Adams-Stokes Syndrome	Adams-Stokes syndrom
D000220	Adaptation, Biological	Anpassning, biologisk
D000221	Adaptation, Ocular	Ögonadaptation
D000222	Adaptation, Physiological	Anpassning, fysiologisk
D000223	Adaptation, Psychological	Anpassning, psykologisk
D000224	Addison Disease	Addisons sjukdom
D000225	Adenine	Adenin
D000226	Mitochondrial ADP, ATP Translocases	Adeninnukleotidtranslokaser
D000227	Adenine Nucleotides	Adeninnukleotider
D000228	Adenine Phosphoribosyltransferase	Adeninfosforibosyltransferas
D000229	Dependovirus	Dependovirus
D000230	Adenocarcinoma	Adenokarcinom
D000231	Adenocarcinoma, Papillary	Adenokarcinom, papillärt
D000232	Adenofibroma	Adenofibrom
D000233	Adenoidectomy	Adenoidektomi
D000234	Adenoids	Adenoider
D000235	Adenolymphoma	Adenolymfom
D000236	Adenoma	Körtelsvulst
D000237	Adenoma, Basophil	Adenom, basofilt
D000238	Adenoma, Chromophobe	Adenom, kromofobt
D000239	Adenoma, Acidophil	Adenom, acidofilt
D000241	Adenosine	Adenosin
D000242	Cyclic AMP	Cykliskt AMP
D000243	Adenosine Deaminase	Adenosindeaminas
D000244	Adenosine Diphosphate	Adenosindifosfat
D000245	Adenosine Diphosphate Glucose	Adenosindifosfatglukos
D000246	Adenosine Diphosphate Ribose	Adenosindifosfatribos
D000247	Adenosine Diphosphate Sugars	Adenosindifosfatsocker
D000248	Adenosine Kinase	Adenosinkinas
D000249	Adenosine Monophosphate	Adenosinmonofosfat
D000250	Adenosine Phosphosulfate	Adenosinfosfosulfat
D000251	Adenosine Triphosphatases	Adenosintrifosfataser
D000252	Calcium-Transporting ATPases	Kalciumtransporterande ATPaser
D000254	Na(+)-K(+)-Exchanging ATPase	Na-K-ATPas
D000255	Adenosine Triphosphate	Adenosintrifosfat
D000256	Adenoviridae	Adenovirus
D000257	Adenoviridae Infections	Adenovirusinfektioner
D000258	Adenovirus Infections, Human	Adenovirusinfektioner, humana
D000259	Aviadenovirus	Aviadenovirus
D000260	Adenoviruses, Human	Adenovirus, humant
D000261	Adenoviruses, Simian	Adenovirus, apa
D000262	Adenylate Cyclase	Adenylatcyklas
D000263	Adenylate Kinase	Adenylatkinas
D000264	Adenylosuccinate Lyase	Adenylsuccinatlyas
D000265	Adenylosuccinate Synthase	Adenylsuccinatsyntas
D000266	Adenylyl Imidodiphosphate	Adenylylimidodifosfat
D000267	Adhesions	Vidhäftningar
D000268	Adhesiveness	Adhesivitet
D000269	Adhesives	Lim
D000270	Adie Syndrome	Adies syndrom
D000272	Adipic Acids	Adipinsyror
D000273	Adipose Tissue	Fettvävnad
D000274	Adiposis Dolorosa	Fettvävsreumatism
D000275	Adjustment Disorders	Anpassningssvårigheter
D000276	Adjuvants, Immunologic	Immunmodulerande medel
D000277	Adjuvants, Pharmaceutic	Farmaceutiska adjuvantia
D000278	Administration, Buccal	Läkemedelstillförsel genom kinden
D000279	Administration, Cutaneous	Läkemedelstillförsel genom huden
D000280	Administration, Inhalation	Läkemedelstillförsel genom inandning
D000281	Administration, Intranasal	Läkemedelstillförsel genom näsan
D000282	Administration, Intravaginal	Läkemedelstillförsel i slidan
D000283	Administration, Intravesical	Läkemedelstillförsel i urinblåsan
D000284	Administration, Oral	Läkemedelstillförsel genom munnen
D000285	Administration, Rectal	Läkemedelstillförsel genom ändtarmen
D000286	Administration, Sublingual	Läkemedelstillförsel under tungan
D000287	Administration, Topical	Läkemedelstillförsel, lokal
D000288	Administrative Personnel	Administrativ personal
D000289	Admitting Department, Hospital	Intagningsavdelningar
D000290	Adnexa Uteri	Adnexa uteri
D000291	Adnexal Diseases	Adnexasjukdomar
D000292	Pelvic Inflammatory Disease	Adnexit
D000293	Adolescent	Ungdomar
D000294	Adolescent Behavior	Ungdomsbeteende
D000295	Adolescent Medicine	Ungdomsmedicin
D000296	Adolescent Psychiatry	Ungdomspsykiatri
D000297	Adolescent Psychology	Ungdomspsykologi
D000298	Adolescent, Hospitalized	Ungdomar på sjukhus
D000299	Adolescent, Institutionalized	Ungdomar på institutioner
D000300	Adoption	Adoption
D000301	Adosterol	Adosterol
D000302	Adrenal Cortex	Binjurebark
D000303	Adrenal Cortex Diseases	Binjurebarkssjukdomar
D000304	Adrenal Cortex Function Tests	Binjurebarksfunktionstester
D000305	Adrenal Cortex Hormones	Binjurebarkshormoner
D000306	Adrenal Cortex Neoplasms	Binjurebarkstumörer
D000307	Adrenal Gland Diseases	Binjuresjukdomar
D000308	Adrenocortical Hyperfunction	Binjurebarkshyperfunktion
D000309	Adrenal Insufficiency	Binjurehypofunktion
D000310	Adrenal Gland Neoplasms	Binjuretumörer
D000311	Adrenal Glands	Binjurar
D000312	Adrenal Hyperplasia, Congenital	Binjurebarkshyperplasi, medfödd
D000313	Adrenal Medulla	Binjuremärg
D000314	Adrenal Rest Tumor	Binjureresttumör
D000315	Adrenalectomy	Adrenalektomi
D000316	Adrenergic alpha-Agonists	Adrenerga alfastimulerare
D000317	Adrenergic alpha-Antagonists	Adrenerga alfablockerare
D000318	Adrenergic beta-Agonists	Adrenerga betastimulerare
D000319	Adrenergic beta-Antagonists	Adrenerga betablockerare
D000320	Adrenergic Fibers	Adrenerga fibrer
D000322	Adrenergic Agonists	Adrenerga stimulerare
D000323	Adrenochrome	Adrenokrom
D000324	Adrenocorticotropic Hormone	Adrenokortikotropiskt hormon
D000325	Adrenodoxin	Adrenodoxin
D000326	Adrenoleukodystrophy	Adrenoleukodystrofi
D000327	Adsorption	Adsorption
D000328	Adult	Vuxna
D000329	Advertising	Annonsering
D000330	Aedes	Aedes
D000331	Aequorin	Aequorin
D000332	Aerobiosis	Aerobios
D000333	Aeromonas	Aeromonas
D000334	Aerophagy	Luftslukning
D000335	Aerosol Propellants	Aerosoldrivgaser
D000336	Aerosols	Aerosoler
D000337	Aerospace Medicine	Flygmedicin
D000338	beta-Aminoethyl Isothiourea	Beta-aminoetylisotiourea
D000339	Affect	Sinnesrörelse
D000341	Affective Disorders, Psychotic	Affektiva störningar, psykotiska
D000342	Affective Symptoms	Affektiva symtom
D000343	Afferent Loop Syndrome	Tillförande slyngans syndrom
D000344	Afferent Pathways	Inåtledande nervbanor
D000345	Affinity Labels	Affinitetsmarkörer
D000346	Afghanistan	Afghanistan
D000347	Afibrinogenemia	Fibrinogenbrist
D000348	Aflatoxins	Aflatoxiner
D000349	Africa	Afrika
D000350	Africa, Central	Centralafrika
D000351	Africa, Eastern	Östafrika
D000352	Africa, Northern	Nordafrika
D000353	Africa, Southern	Södra Afrika
D000354	Africa, Western	Västafrika
D000355	African Horse Sickness	Afrikansk hästpest
D000356	African horse sickness virus	Afrikansk hästpestvirus
D000357	African Swine Fever	Afrikansk svinpest
D000358	African Swine Fever Virus	Afrikansk svinpestvirus
D000359	Aftercare	Eftervård
D000360	Afterimage	Efterbild
D000361	Agammaglobulinemia	Gammaglobulinbrist
D000362	Agar	Agar
D000363	Agaricales	Agaricales
D000364	Agaricus	Agaricus
D000365	Age Determination by Skeleton	Åldersbestämning, skelett
D000366	Age Determination by Teeth	Åldersbestämning, tänder
D000367	Age Factors	Åldersfaktorer
D000368	Aged	Äldre
D000369	Aged, 80 and over	Äldre, 80 och över
D000370	Ageusia	Smakförnimmelse, förlorad
D000371	Agglutination	Agglutination
D000372	Agglutination Tests	Agglutinationstester
D000373	Agglutinins	Agglutininer
D000374	Aggression	Aggression
D000375	Aging	Åldrande
D000376	Agmatine	Agmatin
D000377	Agnosia	Perceptionssvikt
D000378	Agonistic Behavior	Konfliktbeteende
D000379	Agoraphobia	Torgskräck
D000380	Agranulocytosis	Agranulocytos
D000381	Agraphia	Agrafi
D000382	Agricultural Workers' Diseases	Sjukdomar bland lantbrukare
D000383	Agriculture	Lantbruk
D000385	Aid to Families with Dependent Children	Bidrag till barnfamiljer
D000386	AIDS-Related Complex	AIDS-relaterat komplex
D000387	Ainhum	Tåavstötning
D000388	Air	Luft
D000389	Air Conditioning	Luftkonditionering
D000390	Air Ionization	Luftjonisering
D000391	Air Microbiology	Luftmikrobiologi
D000392	Air Movements	Luftrörelser
D000393	Air Pollutants	Luftförorenande ämnen
D000395	Air Pollutants, Occupational	Luftförorenande ämnen, arbetsmiljö
D000396	Air Pollutants, Radioactive	Luftförorenande ämnen, radioaktiva
D000397	Air Pollution	Luftförorening
D000398	Air Pollution, Radioactive	Luftförorening, radioaktiv
D000399	Air Pressure	Lufttryck
D000400	Air Sacs	Luftsäckar
D000401	Aircraft	Flygplan
D000402	Airway Obstruction	Luftvägshinder
D000403	Airway Resistance	Luftvägsmotstånd
D000404	Ajmaline	Ajmalin
D000405	Akinetic Mutism	Akinetisk mutism
D000406	AKR murine leukemia virus	AKR-musleukemivirus
D000407	Alabama	Alabama
D000408	Alamethicin	Alameticin
D000409	Alanine	Alanin
D000410	Alanine Transaminase	Alanintransaminas
D000411	Alanine Racemase	Alaninracemas
D000412	Alanine-tRNA Ligase	Alanin-tRNA-ligas
D000413	Alaska	Alaska
D000415	Albania	Albanien
D000416	Alberta	Alberta
D000417	Albinism	Albinism
D000418	Albumins	Albuminer
D000419	Albuminuria	Albuminuri
D000420	Albuterol	Albuterol
D000421	Alcaligenes	Alcaligenes
D000422	Alchemy	Alkemi
D000423	Alcian Blue	Alcianblått
D000425	Alcohol Amnestic Disorder	Alkoholbetingad varaktig minnesstörning
D000426	Alcohol Dehydrogenase	Alkoholdehydrogenas
D000427	Alcohol Deterrents	Alkoholism, medel mot
D000428	Alcohol Drinking	Alkoholkonsumtion
D000429	Alcohol Oxidoreductases	Alkoholoxidoreduktaser
D000430	Alcohol Withdrawal Delirium	Delirium tremens
D000431	Ethanol	Etanol
D000432	Methanol	Träsprit
D000433	1-Propanol	1-propanol
D000434	Alcoholic Beverages	Alkoholhaltiga drycker
D000435	Alcoholic Intoxication	Alkoholförgiftning
D000436	Alcoholics Anonymous	Anonyma alkoholister
D000437	Alcoholism	Alkoholism
D000438	Alcohols	Alkoholer
D000439	Pentanols	Pentanoler
D000440	Butanols	Butanoler
D000441	Hexanols	Hexanoler
D000442	Octanols	Oktanoler
D000443	Alcuronium	Alkuron
D000444	Aldehyde Dehydrogenase	Aldehyddehydrogenas
D000445	Aldehyde Oxidoreductases	Aldehydoxidoreduktaser
D000446	Aldehyde-Lyases	Aldehydlyaser
D000447	Aldehydes	Aldehyder
D000448	Aldicarb	Aldikarb
D000449	Aldehyde Reductase	Aldehydreduktas
D000450	Aldosterone	Aldosteron
D000451	Aldosterone Antagonists	Aldosteronblockerare
D000452	Aldrin	Aldrin
D000453	Aleutian Mink Disease	Aleutisk minksjukdom
D000454	Aleutian Mink Disease Virus	Aleutisk minksjukdomsvirus
D000455	Medicago sativa	Medicago sativa
D000456	Algae	Alger
D000458	Cyanobacteria	Cyanobacteria
D000459	Algae, Brown	Brunalger
D000460	Algae, Green	Grönalger
D000461	Algae, Red	Rödalger
D000462	Algeria	Algeriet
D000463	Algestone Acetophenide	Algestonacetofenid
D000464	Alginates	Alginater
D000465	Algorithms	Algoritmer
D000466	Alkadienes	Alkadiener
D000468	Alkalies	Alkalier
D000469	Alkaline Phosphatase	Alkaliskt fosfatas
D000470	Alkaloids	Alkaloider
D000471	Alkalosis	Alkalos
D000472	Alkalosis, Respiratory	Andningsalkalos
D000473	Alkanes	Alkaner
D000474	Alkaptonuria	Alkaptonuri
D000475	Alkenes	Alkener
D000476	Alkanesulfonates	Alkansulfonater
D000477	Alkylating Agents	Alkylerande medel
D000478	Alkylation	Alkylering
D000479	Alkylmercury Compounds	Alkylkvicksilverföreningar
D000480	Alkynes	Alkyner
D000481	Allantoin	Allantoin
D000482	Allantois	Allantois
D000483	Alleles	Alleler
D000485	Allergens	Allergener
D000486	Allergy and Immunology	Allergi och immunologi
D000487	Allethrin	Alletrin
D000488	Allied Health Personnel	Paramedicinsk personal
D000489	Alligators and Crocodiles	Alligatorer och krokodiler
D000490	Allium	Lök
D000492	Allophanate Hydrolase	Allofanathydrolas
D000493	Allopurinol	Allopurinol
D000494	Allosteric Regulation	Alloster reglering
D000495	Allosteric Site	Allosterplats
D000496	Alloxan	Alloxan
D000497	Alloys	Legeringar
D000498	Allyl Compounds	Allylföreningar
D000499	Allylamine	Allylamin
D000500	Allylestrenol	Allylestrenol
D000501	Allylglycine	Allylglycin
D000502	Allylisopropylacetamide	Allylisopropylacetamid
D000503	Almanacs	Almanackor
D000504	Aloe	Aloe
D000505	Alopecia	Håravfall
D000506	Alopecia Areata	Alopecia areata
D000507	Mucinosis, Follicular	Mucinos, follikulär
D000508	Alouatta	Alouatta
D000509	alpha-Fetoproteins	Alfafetoproteiner
D000510	Alpha-Globulins	Alfaglobuliner
D000511	alpha-Macroglobulins	Alfamakroglobuliner
D000512	Alpha Particles	Alfapartiklar
D000513	Alpha Rhythm	Alfarytm
D000514	alpha 1-Antichymotrypsin	Alfa 1-antikymotrypsin
D000515	alpha 1-Antitrypsin	Alfa 1-antitrypsin
D000516	alpha-Amylase	Alfaamylas
D000517	alpha-Chlorohydrin	Alfaklorhydrin
D000518	Eflornithine	Eflornitin
D000519	alpha-Galactosidase	Alfagalaktosidas
D000520	alpha-Glucosidases	Alfaglukosidaser
D000521	alpha-MSH	Alfa-MSH
D000522	Alphaprodine	Alfaprodin
D000523	Algestone	Algeston
D000524	Alphavirus	Alfavirus
D000525	Alprazolam	Alprazolam
D000526	Alprenolol	Alprenolol
D000527	Alprostadil	Alprostadil
D000528	Alternaria	Alternaria
D000529	Complementary Therapies	Alternativ- och komplementärmedicin
D000530	Alfaxalone Alfadolone Mixture	Alfaxalonalfadolonmixtur
D000531	Altitude	Höjd
D000532	Altitude Sickness	Höjdsjuka
D000533	Altruism	Altruism
D000534	Alum Compounds	Alumföreningar
D000535	Aluminum	Aluminium
D000536	Aluminum Hydroxide	Aluminiumhydroxid
D000537	Aluminum Oxide	Aluminiumoxid
D000538	Aluminum Silicates	Aluminiumsilikater
D000539	Alveolar Process	Alveolarutskott
D000540	Alveolar Ridge Augmentation	Alveolarkamplastik
D000541	Alveolectomy	Alveolektomi
D000542	Alveolitis, Extrinsic Allergic	Alveolit, exogen allergisk
D000543	Alveoloplasty	Alveoloplastik
D000544	Alzheimer Disease	Alzheimers sjukdom
D000545	Amanita	Flugsvamp
D000546	Amanitins	Amanitiner
D000547	Amantadine	Amantadin
D000548	Amaranth Dye	Amarantfärgämne
D000549	Ambenonium Chloride	Ambenonklorid
D000550	Amblyopia	Amblyopi
D000551	Ambroxol	Ambroxol
D000552	Ambulances	Ambulanser
D000553	Ambulatory Care	Öppenvård
D000554	Ambulatory Care Facilities	Öppenvårdsmottagningar
D000555	Ambulatory Care Information Systems	Informationssystem i öppen vård
D000556	Ambulatory Surgical Procedures	Dagkirurgiska tekniker
D000557	Ambystoma	Ambystoma
D000558	Ambystoma mexicanum	Ambystoma mexicanum
D000559	Ambystomatidae	Ambystomatidae
D000560	Amdinocillin	Amdinocillin
D000561	Amdinocillin Pivoxil	Amdinocillinpivoxil
D000562	Amebiasis	Amöbainfektion
D000563	Amebicides	Ämöbamedel
D000564	Ameloblastoma	Ameloblastom
D000565	Ameloblasts	Ameloblaster
D000566	Amelogenesis	Emaljbildning
D000567	Amelogenesis Imperfecta	Amelogenesis imperfecta
D000568	Amenorrhea	Menstruation, utebliven
D000569	Americas	Amerika
D000570	American Cancer Society	American Cancer Society
D000571	American Dental Association	American Dental Association
D000572	American Heart Association	American Heart Association
D000573	American Hospital Association	American Hospital Association
D000574	American Medical Association	American Medical Association
D000575	American Nurses' Association	American Nurses' Association
D000576	Americium	Americium
D000577	Amides	Amider
D000578	Amidines	Amidiner
D000579	Amidinotransferases	Amidinotransferaser
D000580	Amido Black	Amidosvart
D000581	Amidohydrolases	Amidohydrolaser
D000582	Amidophosphoribosyltransferase	Amidofosforibosyltransferas
D000583	Amikacin	Amikacin
D000584	Amiloride	Amilorid
D000585	Aminacrine	Aminakrin
D000586	Amination	Aminering
D000587	Oxidoreductases Acting on CH-NH Group Donors	
D000588	Amines	Aminer
D000590	Amino Acid Chloromethyl Ketones	Aminosyraklorometylketoner
D000591	Amino Acid Isomerases	Aminosyraisomeraser
D000592	Amino Acid Metabolism, Inborn Errors	Aminosyror, medfödda ämnesomsättningsrubbningar
D000593	Amino Acid Naphthylamidases	Aminosyranaftylamidaser
D000594	Amino Acid Oxidoreductases	Aminosyraoxidoreduktaser
D000595	Amino Acid Sequence	Aminosyrasekvens
D000596	Amino Acids	Aminosyror
D000597	Amino Acids, Branched-Chain	Aminosyror, grenade
D000598	Amino Acids, Cyclic	Aminosyror, cykliska
D000599	Amino Acids, Diamino	Diaminoaminosyror
D000600	Amino Acids, Dicarboxylic	Dikarboxylaminosyror
D000601	Amino Acids, Essential	Aminosyror, essentiella
D000602	Amino Acids, Peptides, and Proteins	Aminosyror, peptider och proteiner
D000603	Amino Acids, Sulfur	Svavelaminosyror
D000604	Amino Acyl-tRNA Synthetases	Aminoacyl-tRNA-syntetaser
D000605	Amino Alcohols	Aminoalkoholer
D000606	Amino Sugars	Aminosocker
D000607	Aminoacetonitrile	Aminoacetonitril
D000608	Renal Aminoacidurias	Renal aminoaciduri
D000609	Aminoacridines	Aminoakridiner
D000610	Aminobenzoic Acids	Aminobensoesyror
D000611	Aminobiphenyl Compounds	Aminobifenylföreningar
D000612	4-Aminobutyrate Transaminase	4-aminobutyrattransaminas
D000613	Aminobutyric Acids	Aminobutansyror
D000614	Aminocaproic Acids	Aminokapronsyror
D000615	Aminoethylphosphonic Acid	Aminoetylfosfonsyra
D000616	Aminoglutethimide	Aminoglutetimid
D000617	Aminoglycosides	Aminoglykosider
D000618	Aminohippuric Acids	Aminohippursyror
D000619	Aminohydrolases	Aminohydrolaser
D000620	Aminoimidazole Carboxamide	Aminoimidazolkarboxamid
D000621	Aminoisobutyric Acids	Aminoisosmörsyror
D000622	Aminolevulinic Acid	Aminolevulinsyra
D000623	Porphobilinogen Synthase	Porfobilinogensynthase
D000624	5-Aminolevulinate Synthetase	5-aminolevulinatsyntetas
D000625	Aminooxyacetic Acid	Aminooxyättiksyra
D000626	Aminopeptidases	Aminopeptidaser
D000627	Aminophenols	Aminofenoler
D000628	Aminophylline	Aminofyllin
D000629	Aminopropionitrile	Aminopropionitril
D000630	Aminopterin	Aminopterin
D000631	Aminopyridines	Aminopyridiner
D000632	Aminopyrine	Aminopyrin
D000633	Aminopyrine N-Demethylase	Aminopyrin N-demetylas
