Synonym	Mesh_UI
Acetyl-koenzym A-karboxylas	D000103
Achromobacter xylosoxidans	D042441
Achromycin	D013752
Acidofilt adenom	D000239
ACL	D016118
ACTH	D000324
ACTH-receptorer	D018043
Actiniaria	D012615
Actinomyces	D000190
Actinomycin	D003609
Acyl-koenzym A	D000214
Adalat	D009543
Addisons anemi	D000752
Adenocystiskt karcinom	D003528
Adenom	D000236
Adenom, hepatocellulärt	D018248
Adenomatös kolonpolypos	D011125
Adenoskvamöst karcinom	D018196
Adenylcyklas	D000262
Adherenser	D000267
Adies pupill	D015845
Adipocyter	D017667
Adiposis dolorosa	D000274
Adipositas	D009765
Adiuretin	D003894
Adjuvant artrit	D001169
Adjuvantia, anestetiska	D000759
Adjuvantia, farmaceutiska	D000277
Adjuvantia, immunologiska	D000276
Administration	D009934
ADP	D000244
ADP-glukos	D000245
ADP-kinas	D025181
ADP-ribos	D000246
Adrenerga agonister	D000322
Adrenerga alfaagonister	D000316
Adrenerga alfaantagonister	D000317
Adrenerga antagonister	D018674
Adrenerga betaagonister	D000318
Adrenerga betaantagonister	D000319
Adrenerga receptorer	D011941
Adrenokortikalt karcinom	D018268
Adrenomyeloneuropati	D000326
Adriamycin	D004317
Advokater	D033241
Aeroba bakterier	D001420
AeroBec	D001507
Aerobics	D015444
Aerofagi	D000334
Afasi, expressiv	D001039
Aferes	D001781
Affekt	D000339
Affektiv bipolär sjukdom	D001714
Affektiva psykoser	D000341
Afferenta nervbanor	D000344
Affärsdrivande hälso- och sjukvårdsinrättningar	D006269
Affärsdrivande sjukhus	D006777
Afibrinogenemi	D000347
Afoni	D001044
Afrikansk sömnsjuka	D014353
Afroamerikaner	D001741
Aftös stomatit	D013281
Agammaglobulinemi	D000361
AGE	D017127
Ageusi	D000370
Agnosi	D000377
Agorafobi	D000379
Agrobacterium	D012231
Agrobacterium tumefaciens	D016960
AGS	D047808
AIDP	D020275
Aids hos apa	D016097
AIDS-läkemedel	D019380
AIDS-överlevande	D020276
Ailurus	D053822
AIS-skala	D015998
AIVR	D016170
Akee	D032124
Akillessena	D000125
Akineton	D001712
Akne	D000152
Aknekeloid	D000153
Akrocefali	D003398
Akronymer	D000004
Aktinomykos	D000196
Aktinomykos, cervikofacial	D000197
Aktiv dödshjälp	D028601
Aktiv immunitet	D007110
Aktiverad faktor VII	D015942
Aktiverad faktor X	D015951
Aktiviteter	D006802
Aktivt kol	D002606
Akupunkturanalgesi	D015667
Akupunkturanestesi	D015668
Akupunkturpunkter	D015669
Akupunkturterapi	D015670
Akustisk impedans, tester	D000158
Akustisk reflex	D012022
Akustisk rinometri	D023842
Akut eosinofil leukemi	D015472
Akut erytroblastisk leukemi	D004915
Akut hemorragisk konjunktivit	D003232
Akut icke-lymfatisk leukemi	D015470
Akut lungsvikt	D012127
Akut lymfatisk leukemi	D015447
Akut megakaryocytleukemi	D007947
Akut monocytisk leukemi	D007948
Akut myeloisk leukemi	D007950
Akut myelomonocytleukemi	D015479
Akut njurkanalnekros	D007683
Akut näthinnenekros	D015882
Akut promyeloisk leukemi	D015473
Akut T-cellsleukemi	D015459
Akutmottagningar, psykiatriska	D004637
Akut-p-piller	D003281
Akutvård	D004632
Akvakultur	D017756
Akyli	D000126
ALA	D000622
Alaninaminotransferas	D000410
Alaryngealt tal	D013071
ALAT	D000410
Albers-Schönbergs sjukdom	D010022
Albumin i serum	D012709
Alcanivorax	D053521
ALD	D000326
Aldactone	D013148
ALDH	D000444
Aldomet	D008750
Aldosteronantagonister	D000451
Alendronsyra	D019386
Aleukemisk leukemi	D007954
Alfaalfa	D000455
Alfaceller	D050416
Alfadil	D017292
Alfadion	D000530
alfa-globin	D005914
alfa-kemokiner	D019743
Alfanodavirus	D030381
Alfastrålar	D000512
Alger, bruna	D000459
Alger, gröna	D000460
Alger, guld-bruna	D044523
Alger, röda	D000461
Alkalos, respiratorisk	D000472
Alkeran	D008558
Alkiron	D008779
Alkohol	D000431
Alkoholberusning	D000435
Alkoholbetingad fettlever	D005235
Alkoholbetingad hepatit	D006519
Alkoholbetingad steatos	D005235
Alkoholbetingade leversjukdomar	D008108
Alkoholintoxikation	D000435
Alkoholvanor	D000428
Alkotest	D001944
Allelisk förlust	D019656
Allergen immunterapi	D003888
Allergenprovokation, bronkiell	D001985
Allergi	D006967
Allergisk angit	D015267
Allergisk bronkopulmonell aspergillos	D001229
Allergisk konjunktivit	D003233
Allergisk kontaktdermatit	D017449
Allergisk kontakteksem	D017449
Allergisk kutan vaskulit	D014658
Allergisk luftvägssjukdom	D012130
Allergisk vaskulit	D018366
Allergologi	D000486
Allmän hälsovård	D011634
Allmän- och specialisttjänstgöring	D007396
Allmänna sjukhus	D006769
Allmäntjänstgöring	D007396
Allra äldsta	D000369
Alm	D034403
Almväxter	D034401
Alopeci	D000505
Alopecia mucinosa	D000507
Alpacka	D002161
Alpers syndrom	D002549
Alpinism	D009051
Alports syndrom	D009394
Alruna	D026781
ALS	D000690
Alströmeria	D031402
Alteplas	D010959
Alternativ komplementaktivering	D003170
Alternativmedicin	D000529
Altesin	D000530
Altitud	D000531
Alunrot	D031996
Alu-sekvens	D020087
Alvedon	D000082
Alzheimer beta-protein	D016229
Amalgam	D003723
Amarant	D027721
Amazonpapegoja	D046708
Ambulatorisk elektrokardiografi	D015716
Ambulatoriskt EKG	D015716
Ambulerande enheter inom hälso- och sjukvård	D008952
AMC	D001176
AMCHA	D014148
Amelogenes	D000566
Amenorre	D000568
Aminer, biogena	D001679
Aminobärnstensyra	D001224
Aminosmörsyror	D000613
Aminosyrasekvenser, repetitiva	D020449
Aminotransferases	D000637
Aminotrizoinsyra	D003974
Aminoxidreduktaser	D000587
Amlor	D017311
AMN	D000326
Amnesi	D000647
Amnesi, antegrad	D020324
Amnesi, anterograd	D020324
Amnesi, retrograd	D000648
Amnesi, transitorisk	D020236
Amnesi, övergående	D020236
Amningsdepression	D019052
Amniocentes	D000649
Amnionvätska	D000653
Amnioskopi	D005332
Amoebiasis	D000562
Amoxicillin-klavulansyra	D019980
AMP	D000249
Amphistomidae	D010250
Ampulla Vateri	D014670
Amyloidos, ärftlig	D028226
Amyloidplack	D019582
Anabola steroider	D045930
Anaeroba bakterier	D001421
Anafranil	D002997
Anafylaxi	D000707
Analcancer	D001005
Analgesi	D000698
Analgesi, epidural	D015360
Analgesi, obstetrisk	D016362
Analgetika	D000700
Analgetika, icke-narkotiska	D018712
Analgetika, opioider	D000701
Analgetikainducerad huvudvärk	D020773
Analinkontinens	D005242
Analkörtelcancer	D000694
Analsfinkter	D001003
Analt stadium	D011606
Analtumörer	D001005
Analulcer	D005401
Analys av försäkringskrav	D007345
Analytisk kemi	D002623
Anamnesupptagning	D008487
Anastomos, Roux	D000713
Anatomi, tvärsnitt	D019412
Anatomiska modeller	D008953
Anbud	D003164
ANCA	D019268
Ancotil	D005437
Andfåddhet	D004417
Andfåglar	D046090
Andlig reningsprocess	D002399
Andlig vård	D010327
Andningsacidos	D000142
Andningsinsufficiens	D012131
Andningsorgan	D012137
Andningsorganens cancer	D012142
Andningsorganens infektioner	D012141
Andningsorganens sjukdomar	D012140
Andningsorganens tumörer	D012142
Andningsparalys	D012133
Andningsskydd	D012134
Andningssvårigheter	D012120
Andningsövningar	D001945
Andra magen	D012159
Andragenerationsantidepressiva medel	D018687
Androblastom	D018310
Androcur	D003534
Androcur	D017373
Androst-5-en-3 beta, 17 beta-diol	D015114
Anemi	D000740
Anemi, järnbrist	D018798
Anemi, megaloblastisk	D000749
Anemi, neonatal	D000751
Anemi, sicklecell	D000755
Anestesi vid tandbehandling	D000766
Anestesi, epidural	D000767
Anestesi, generell	D000768
Anestesi, inhalation	D000769
Anestesi, ledning	D000765
Anestesi, lokal	D000772
Anestesi, obstetrisk	D000773
Anestesi, rektal	D000774
Anestesi, sakral	D000763
Anestesi, spinal	D000775
Anestesikliniker	D000761
Anestesisjuksköterskor	D009719
Anestetika	D000777
Anestetika, inhalation	D018685
Anestetika, lokala	D000779
Aneurin	D013831
Aneurysm	D000783
Aneurysm i hjärnan	D002532
Aneurysmala bencystor	D017824
ANF	D009320
Angina pectoris	D000787
Angina pectoris, variant	D000788
Angiogenes, fysiologisk	D018919
Angiogenes, patologisk	D009389
Angiogenesfaktor	D043925
Angiografi	D000792
Angiografi, digital subtraktion	D015901
Angioleiomyom	D018229
Angiom	D006391
Angiopati, cerebral amyloid	D016657
Angioplastik, ballong	D000800
Angioplastik, ballong, laser	D017222
Angioplastik, laser	D016342
Angioödem	D000799
Angit	D014657
Anhöriga	D005190
Anhörigvård	D006701
Ankhepatit B-virus	D015611
Ankhepatitvirus	D004371
Anknytningar	D009769
Ankyloserande hyperostos	D004057
Anlagsbärare	D006579
Anlagsbärare, identifiering	D006580
Anlagsbärartest	D005820
Anlagstyp	D005838
Anmälningsplikt	D018563
Anmälningsskyldighet	D019221
ANN	D016571
Anodonti	D000848
Anomi	D000849
Anorexi	D000855
Anosmi	D000857
Anoxemi	D000859
Anoxi	D000860
Anpassning, okulär	D000221
Ansamyciner	D047029
Ansatipin	D017828
Ansiktscancer	D005153
Ansiktsförlamning, idiopatisk	D020330
Anslag	D005378
Ansträngningsutlöst astma	D001250
Ansträngningsutlösta skador	D012090
Antabus	D004221
Antacida	D000863
Antasten	D000865
Anthoceros	D049936
Antiandrogener	D000726
Anti-antikroppar	D000888
Antiastmatika	D018927
Antibakteriell resistens	D024881
Antibiotika	D000900
Antibiotikaresistens, bakteriell	D024881
Antibiotikaresistens, mikrobiell	D004352
Anticipatorisk kräkning	D014840
Antidiabetika	D007004
Anti-DNA-antikroppar	D000974
Antidoter	D000931
Antiepileptika	D000927
Antiflogistika	D000893
Antigener, bakteriella	D000942
Antigener, B-celldifferentiering	D000944
Antigener, CD	D015703
Antigener, CD1	D018949
Antigener, CD11	D018845
Antigener, CD11a	D040881
Antigener, CD11b	D039481
Antigener, CD11c	D039521
Antigener, CD13	D018826
Antigener, CD137	D053261
Antigener, CD14	D018950
Antigener, CD146	D051929
Antigener, CD147	D051926
Antigener, CD15	D016256
Antigener, CD164	D051930
Antigener, CD18	D018821
Antigener, CD19	D018941
Antigener, CD2	D018801
Antigener, CD20	D018951
Antigener, CD22	D051918
Antigener, CD24	D051927
Antigener, CD26	D018819
Antigener, CD27	D018127
Antigener, CD28	D018106
Antigener, CD29	D019012
Antigener, CD3	D017252
Antigener, CD30	D017730
Antigener, CD31	D019408
Antigener, CD34	D018952
Antigener, CD36	D018955
Antigener, CD39	D051997
Antigener, CD4	D015704
Antigener, CD40	D019013
Antigener, CD43	D051917
Antigener, CD44	D018960
Antigener, CD45	D017493
Antigener, CD46	D051916
Antigener, CD47	D051928
Antigener, CD5	D018956
Antigener, CD55	D018958
Antigener, CD56	D019002
Antigener, CD57	D018959
Antigener, CD58	D018968
Antigener, CD59	D018957
Antigener, CD7	D019011
Antigener, CD70	D053282
Antigener, CD79	D051925
Antigener, CD8	D016827
Antigener, CD80	D018122
Antigener, CD86	D051940
Antigener, CD94	D051920
Antigener, CD95	D019014
Antigener, CD98	D000941
Antigener, CD98	D027261
Antigener, CD98 lätt kedja	D027301
Antigener, CD98 tung kedja	D027282
Antigener, cellyta	D000954
Antigener, differentiering	D000943
Antigener, heterofila	D015478
Antigener, heterologa	D015478
Antigener, Ly	D000950
Antigener, mask	D000947
Antigener, myelomonocytdifferentiering	D015214
Antigener, protozoiska	D000953
Antigener, svamp	D000946
Antigener, T-celldifferentiering	D000945
Antigener, T-celloberoende	D000955
Antigener, Thy-1	D018800
Antigener, trombocyt	D016824
Antigener, tumör	D000951
Antigener, virala	D000956
Antiglobuliner	D000888
Antihelmintika	D000871
Antiheparinfaktor	D010972
Antihistaminer	D006633
Antihypertensiva medel	D000959
Antihypertonimedel	D000959
Antikoagulantia	D000925
Antikolesterolmedel	D000924
Antikolinergika	D018680
Antikonception	D003267
Antikonception, immunologisk	D003269
Antikonception, postkoital	D044363
Antikonceptionsmedel för kvinnor	D003274
Antikonceptionsmedel för män	D003275
Antikonceptionsmedel, kemiska	D003270
Antikonceptionsmedel, kemiska, för kvinnor	D003271
Antikonceptionsmedel, kemiska, för män	D003272
Antikroppar, antifosfolipid	D017152
Antikroppar, anti-idiotypiska	D000888
Antikroppar, antikardiolipin	D017153
Antikroppar, antinukleära	D000974
Antikroppar, bakteriella	D000907
Antikroppar, blockerande	D019138
Antikroppar, fosfospecifika	D045163
Antikroppar, heterofila	D000910
Antikroppar, katalytiska	D017151
Antikroppar, mask	D000909
Antikroppar, monoklonala	D000911
Antikroppar, protozoiska	D000913
Antikroppar, svamp	D000908
Antikroppar, tumör	D000912
Antikroppar, växt	D046549
Antikroppsberoende cytotoxicitet	D000920
Antikroppsutveckling	D000917
Antikropssrespons	D000917
Antilipemimedel	D000960
Antimikrobiella medel	D000890
Antimögel medel	D000935
Antioxidationsmedel	D000975
Antipyretika	D018712
Antiretroviral behandling	D023241
Antireumatika	D018501
Antiseptika	D000891
Antisera	D007106
Antitrombotiska medel	D005343
Antitussiva medel	D000996
Antitymoglobulin	D000961
Antiulkusmedel	D000897
Antiveniner	D000997
Antivirusvacciner	D014765
Antons syndrom	D019575
Antral vaskular ektasi	D020252
Antrax	D000881
Antraxvacciner	D022122
Anuri	D001002
Anus	D001003
Anxiolytika	D014151
Anxiolytika, bensodiazepin	D001568
Aorta	D001011
Aorta, bröst	D001013
Aorta, buk	D001012
Aortaaneurysm	D001014
Aortaaneurysm, bröst	D017545
Aortaaneurysm, buk	D017544
Aortadissektion	D000784
Aortainflammation, syfilitisk	D013589
Aortainsufficiens	D001022
Aortaklaffläckage	D001022
Aortaklaffstenos	D001024
Aortakoarktation	D001017
Aortaruptur	D001019
Aortastenos	D001024
Aortit	D001025
Aortit, syfilitisk	D013589
Aortit-syndrom	D001015
Aotinae	D016645
APC-resistens	D020016
Aperts syndrom	D000168
Apikoektomi	D001047
Aplastisk anemi	D000741
Apne	D001049
Apo H	D053482
apoE	D001057
Apoferritiner	D001052
Apoplexi	D020521
Apor	D000882
Apotekarutbildning	D004512
Apotekstjänster på sjukhus	D010607
Appendektomi	D001062
Appendicit	D001064
Appendix	D001065
Appendixcancer	D001063
Appendixtumörer	D001063
Apraxier	D001072
Apresolin	D006830
APS I	D016884
APS II	D016884
Aptitreducerande medel	D001067
Aqueductus cerebri	D002535
Aqueductus Sylvii	D002535
Ara-CTP	D001085
Araknoid	D001099
Ara-U	D001086
Arbetsanalys	D013647
Arbetsbörda	D016526
Arbets-EKG	D005080
Arbetskapacitetsbedömning	D014938
Arbetskläder	D011481
Arbetsledning	D007857
Arbetslivsförberedelser	D014830
Arbetsskadeersättning	D014942
Arbetsstudier	D013996
Arbetsträning	D012050
Arbovirusencefalit	D004671
ARC	D000386
ARD	D012130
Ardinex	D003061
ARDS	D012127
ARDS	D012128
Argipressin	D001127
Argyri	D001129
Arhinencefali	D016142
Armens ben	D001133
Armflätan	D001917
Armnervnät	D001917
Armproteser	D001186
Aromatiska aminosyror	D024322
Aromämnen	D005421
Artemisia	D019306
Arteria axillaris	D001366
Arteria basilaris	D001488
Arteria brachialis	D001916
Arteria carotis communis	D017536
Arteria carotis externa	D002342
Arteria carotis interna	D002343
Arteria celiaca	D002445
Arteria cerebri anterior	D020771
Arteria cerebri media	D020768
Arteria cerebri posterior	D020769
Arteria femoralis	D005263
Arteria gastroepiploica	D024405
Arteria hepatica	D006499
Arteria iliaca	D007083
Arteria lienalis	D013157
Arteria maxillaris	D008438
Arteria mesenterica	D008638
Arteria mesenterica inferior	D017537
Arteria mesenterica superior	D017538
Arteria ophthalmica	D009880
Arteria poplitea	D011150
Arteria pulmonalis	D011651
Arteria radialis	D017534
Arteria renalis	D012077
Arteria retinalis	D012161
Arteria subclavia	D013348
Arteria ulnaris	D017535
Arteria vertebralis	D014711
Arteriella ocklusionssjukdomar	D001157
Arteriella sjukdomar i hjärnan	D020765
Arteriografi	D000792
Arteriohepatisk dysplasi	D016738
Arteriosklerotisk plack	D001161
Arteriovenösa missbildningar i hjärnan	D002538
Arterit	D001167
Arternas utplåning	D053476
Arthus fenomen	D001183
Articulatios sternocostales	D013248
Artificiella däggdjurskromosomer	D022221
Artificiella jästkromosomer	D018244
Artificiella kromosomer	D022201
Artificiella kromosomer, bakteriella	D022202
Artificiella kromosomer, mänskliga	D022222
Artificiella neurala nätverk	D016571
Artralgi	D018771
Artrit	D001168
Artrit, reumatoid	D001172
Artrodes	D001174
Artrogrypos	D001176
Artropati, neurogen	D001177
Artropoder	D001181
Artskarakteristika	D013045
Artutplåning	D005108
Artärer	D001158
Arv	D040941
Arvsmassa	D016678
Arytmi	D001145
Arytmogen dysplasi i högra ventrikeln	D019571
Asacol	D019804
ASAT	D001219
Ascites	D001201
Ascites, kylös	D002915
Ascitisk vätska	D001202
Ascovirus	D029223
ASD	D006344
Asepsis	D001207
Asexuell fortplantning	D012100
Asfyxi	D001237
Asiater	D044466
Askar	D031661
Askorbinsyra	D001205
Askorbinsyrabrist	D001206
Aspartataminotransferas	D001219
Aspartattransaminas	D001219
Aspergillus	D001230
Aspiration	D001239
Aspiration av maginnehåll	D053120
Aspiration, mekanisk	D013396
Aspirationsbiopsi	D001707
Aspirationsbiopsi, finnål	D044963
Aspirin	D001241
Assertivitet	D001242
Assisterad befruktning	D007315
Assisterat boende	D040561
Assisterat självmord	D017236
Associationer	D001244
Associativ inlärning	D001245
Asteni	D001247
Astenopi	D001248
Asteroider	D018543
Astrovirus, humant	D001257
Asymmetriskt ansikte	D005146
Asystole	D006323
Atarax	D006919
Ataxi, cerebellär	D002524
Atelektas	D001261
Atenativ	D000990
Aterektomi, koronar	D017225
Aterom	D001161
Ateroskleros	D001161
Aterosklerosframkallande kost	D004036
ATG	D000961
ATGAM	D000961
Atkins diet	D050528
Atlantisk lax	D020317
Atlantisk torks	D048389
Atomenergi	D009678
Atomkrig	D009689
Atoni	D018908
Atopisk dermatit	D003876
Atopiskt eksem	D003876
ATP	D000255
ATP	D010415
ATP-ADP-kinas	D025181
ATPas	D000251
Atrakuriumbesilat	D001279
Atrieflimmer	D001281
Atriell ektopisk takykardi	D013612
Atriell natriuretisk faktor	D009320
Atrofi	D001284
Atrofisk gastrit	D005757
Atrovent	D009241
Attester	D011996
Au-antigen	D006514
AUC	D019540
Audiometri	D001299
Audiometri, elektroencefalografisk	D001300
Audiometri, tal	D001302
Audiometri, ton	D001301
Auditiv perception	D001307
Auditiv tröskel	D001309
Auditiva elektriska retningspotentialer	D005072
Auditiva svarspotentialer	D005072
Auerbachs plexus	D009197
Aureomycin	D002751
Auronatriumtiosulfat	D012971
Aurorix	D020912
Auskultation	D001314
Australisk struts	D020312
Australoider	D044468
Autism hos spädbarn	D001321
Autism, infantil	D001321
Autodigestion	D001329
Autofagocytos	D001343
Autoimmun diabetes	D003922
Autoimmun experimentell encefalomyelit	D004681
Autoimmun hemolytisk anemi	D000744
Autoimmun tyreoidit	D013967
Autoimmunt polyglandulärt syndrom typ I	D016884
Autoimmunt polyglandulärt syndrom typ II	D016884
Autoklav	D013242
Autolog blodgivning	D001804
Autolys	D001329
Automatisk databehandling	D001330
Autonom hyperreflexi	D020211
Autonoma ganglier	D005725
Autonomi, personlig	D026684
Autonomi, professionell	D017009
Auto-PEEP	D018467
Autopsi	D001344
Autosuggestion	D001346
Auxiner	D007210
Avbildningstekniker	D003952
Avbrutet samlag	D003076
Avdelningsföreståndare	D009718
Avdelningssjuksköterskor	D009718
Avel	D001947
Avföring, hård	D005244
Avföring, sammanpressad	D005244
Avföringsmedel	D002400
Avgifter	D005249
Avil	D010632
A-vitamin	D014801
A-vitaminbrist	D014802
Avitaminos	D001361
AV-knuta	D001283
Avlopp	D012722
Avloppssystem	D004323
Avlossning av moderkaka	D000037
AV-medel	D001296
Avokado	D027421
Avsaknad av luktsinne	D000857
Avsaknad av ögonlins	D001035
Avslappning	D012063
Avslappningsterapi	D012064
Avstötta ledbroskbitar	D010008
Avsvällande medel, nasala	D014663
Avvikelserapportering	D012308
Axel	D012782
Axelfrakturer	D012784
Axelhåla	D001365
Axelled	D012785
Axelledsdislokation	D012783
Axelledsluxation	D012783
Axelsmärta	D020069
Axilla	D001365
Axillarartär	D001366
Axillarven	D001367
Axoner	D001369
AY-9944	D001371
Azactam	D001398
Azoospermi	D009845
Azotobacteraceae	D011548
Bacillär angiomatos	D016917
Backsippa	D031946
Backtravar	D017360
Bactrim	D015662
Bactroban	D016712
Bain-system	D000764
Bak	D002081
Bakgrundsstrålning	D001417
Bakhjärna	D012249
Bakre korsband	D016119
Bakteriedödande virus	D001435
Bakteriefri förfarande	D001207
Bakteriegenom	D016680
Bakteriell adhesion	D001422
Bakteriell konjunktivit	D003234
Bakteriella fimbrier	D010861
Bakteriella virus	D001435
Bakteriellt DNA	D004269
Bakteriellt RNA	D012329
Bakteriemi, hemorragisk	D006483
Bakterier i blodet	D016470
Bakterier i urinen	D001437
Bakterietoxiner	D001427
Bakteriofager T	D013604
Bakteriolys	D001433
Baktrim	D015662
Baldersbrå	D031169
Balint psykoanalytisk terapi	D011575
Baljväxter	D007887
Ballongdilatation	D001451
Ballongocklusion	D021721
Balneoterapi	D001452
Balos koncentrisk skleros	D002549
Balsamträd	D029904
Banan	D028521
Bananer	D019862
Bananfluga	D004331
Bananflugor	D018428
Bananplanta	D028521
Band 3-protein	D001457
Bandage	D001458
Bandmaskinfektion i tarmen	D013622
Bandtångsväxter	D035962
Bankrutt	D016361
Bantning	D015431
Bantningsmedel	D019440
Barn i förskoleåldern	D002675
Barn till föräldrar med missbruk	D016241
Barnafödande	D036801
Barnavårdscentraler	D002662
Barndaghem	D002656
Barndödlighet	D046688
Barnfamilj	D009679
Barnförlamning	D011051
Barnkliniker	D006776
Barnledighet	D016524
Barnmedicin	D010372
Barnmisshandel, sexuell	D002650
Barnombudsman	D002651
Barns hälsa	D002669
Barns rättsskydd	D002651
Barns välbefinnande	D002669
Barnsbörd	D036801
Barnsjukvård	D002662
Barnsängsdöd	D008428
Barrets metaplasi	D001471
Barriärantikonceptionsmedel	D003273
Barriärmetoder för antikonception	D042121
Barriärmetoder för kontraception	D042121
Bartonellos	D001474
Bartters syndrom	D001477
Basalcellscancer	D018295
Basaliom	D002280
Basalmetabolism	D001481
Basedows sjukdom	D006111
Basilika	D018649
Basisk fibroblastillväxtfaktor	D016222
Basiska aminosyror	D024361
Basofil leukemi, akut	D015471
Basofilt adenom	D000237
Basoskvamöst karcinom	D002281
Baspar	D020029
Basparning	D020029
Battens sjukdom	D009472
Battles tecken	D020205
Bauhins klaff	D007080
Bayer 3625	D009533
Bayer 9015	D009533
Bay-K-8644	D001498
BBB	D002037
B-celler	D001402
BCG-vaccin	D001500
Bechterews sjukdom	D013167
Beckers muskeldystrofi	D020388
Beclomet	D001507
Becotide	D001507
Beduiner	D018912
Bedömning	D007600
Befattningsbeskrivning	D007587
Befolkningspolitik	D011155
Befruktning, konstgjord	D007315
Begonia	D031112
Begåvning	D001076
Behandlingsavbrott	D028761
Behandlingsbiverkningar	D019300
Behandlingsskador	D019300
Behaviorism	D001527
Behov och efterfrågan, hälso- och sjukvård	D006301
Behovsprövning	D020380
Behörighet	D002568
Belastningsundersökning	D005080
Belladonna	D001532
Bemanning	D010561
Benankare	D053441
Bence Jones protein	D001536
Bendertestet	D001538
Benförankring	D016348
Benförlust	D001862
Benförlängning	D001852
Benförtätning	D010026
Benigna monoklonala gammopatier	D008998
Benmassa	D015519
Benmärgscancer	D019046
Benmärgsutstryk	D001856
Bennedbrytning	D001862
Benombildning	D016723
Benpen	D010400
Benpipa	D018483
Benproteser	D001186
Benröta	D010019
Bensatropin	D001590
Benshexol	D014282
Bensol	D001554
Bensopyrener	D001580
Bensylpenicillin	D010400
Benvävnadscancer	D018213
Beredskap	D004189
Berikade livsmedel	D005527
Beroe	D037302
Beroendebeteende	D016739
Berotec	D005280
Berylliumlunga	D001607
Beräkningsbiologi	D019295
Besoarstenar	D001630
Besparingsåtgärder	D017046
Bestämning av kromosomuppsättning	D007621
Betablockerare	D000319
Betaceller	D050417
beta-globin	D005914
beta-HCG	D018997
beta-kemokiner	D019742
beta-laktamas I	D010405
Betanodavirus	D030381
Betastimulerare	D000318
Beteende hos djur	D001522
Beteendestörningar	D001523
Betel	D001114
Betelpeppar	D031721
Betnovat	D001624
Betoptic	D015784
Bettanomali	D008310
Bettslipning	D019558
Bezalip	D001629
bFGF	D016222
Bibliografi, medicinsk	D001635
Bibliografi, nationell	D001637
Bibliografiska databaser	D016206
Bibliotek, digitala	D046609
Bibliotek, medicinska	D007993
Bibliotek, odontologiska	D007991
Bibliotek, sjukhus	D007992
Bibliotek, vård	D007994
Biblioteksdatorisering	D016242
Bidrag	D005378
Bidvävstumör, godartad	D005350
Bihålecancer	D010255
Biklin	D000583
Bikuspid	D001641
Bilavgaser	D001335
Bilbälten	D012622
Bildförbättring	D007089
Bildligt uttryck	D019365
Bildskärmar	D016288
Bildterapi	D001155
Bilevon	D009533
Bilharzios	D012552
Biliär levercirros	D008105
Biljud	D012135
Bindhinnecancer	D003230
Bindor	D052576
Bindvävs- och mjukdelscancer	D018204
Bindvävs- och mjukdelstumörer	D018204
Bindvävscancer	D009372
Bindvävsmakrofager	D006644
Bindvävssjukdom, blandad	D008947
Binjurebarkscancer	D000306
Binjurebarkshämning	D000309
Binjurebarksinsufficiens	D000309
Binjurecancer	D000310
Binokulär disparitet	D015357
Biobränsle	D001674
Bioenergi	D001674
Biofeedback (Psykologi)	D001676
Biofix	D011100
Biokemisk återkoppling	D025461
Biokompatibla material	D001672
Biolistik	D019470
Biologisk anpassning	D000220
Biologisk bekämpning	D010572
Biologisk terrorism	D023482
Biologisk utrotning	D053476
